name,price,status,shipping,free_returns,items_sold
Shop on eBay,2000,Brand New,,False,
Desk Calculator 12-Digit Desktop Calculator with Standard Function Solar Large,766,Brand New,0,True,
Texas Instruments TI-84 Plus Graphing Calculator Black With Cover,7900,Pre-Owned,0,False,172
Helect Standard Function Desktop Business Calculator H1006,1199,Brand New,0,False,2034
Helect H1002 2-Line Engineering Scientific Calculator,1599,Brand New,0,False,1479
Texas Instruments TI-83 Plus Graphing Calculator TI83 + ,1999,Refurbished,497,False,4864
Texas Instruments TI-83 Plus Graphing Calculator Fully Functional,2400,Pre-Owned,0,False,26
Texas Instruments TI-84 Plus Calculator Good Condition & Fast Free Shipping :),6000,Pre-Owned,0,False,
New 12-Digit Desktop Calculator Standard Function Dual Power Solar AA Battery,899,Brand New,0,True,
Texas Instruments TI 83 Graphing Calculator with Cover Tested Calculus,3000,Pre-Owned,0,False,81
12-Digit Desktop Calculator Solar Battery Big Button Dual Power Large Display,766,Brand New,0,True,
Texas Instruments TI-84 Plus Graphing Calculator,5000,Pre-Owned,500,False,50
Solar Battery Desktop Calculator Basic 12-Digit Large Display Office Business US,792,Brand New,0,True,
Texas Instruments TI-84 Plus Calculator Good Condition & Fast Free Shipping :),6049,Pre-Owned,0,False,
Desktop Calculator 12 Digit Display Battery Solar Basic Big Button Business Home,790,Brand New,0,True,
Casio FX-300ESPLUS Scientific Calculator,1045,Brand New,0,False,30
Large 12-Digit Calculator Big Button Desktop Math Display Solar Battery Powered,798,Brand New,0,True,
Texas Instruments TI-83 Plus Graphing Calculator - Tested and Working - TI-83+,3200,Pre-Owned,0,False,
Texas Instruments TI-83 Plus Graphing Calculator W/Covers. NEW BATTERIES!,3999,Pre-Owned,0,False,53
New ListingUsed Texas Instruments TI-84 Plus Edition Graphing Calculator - No Cover,2499,Pre-Owned,0,False,
Electronic Calculator KK-837-12S Standard Function Electronics Calculator,699,Brand New,0,True,
Texas Instruments TI-84 Plus Silver Edition Graphing Calculator ,6999,Pre-Owned,0,True,183
Texas Instruments TI-Nspire CX Graphing Calculator,6999,Pre-Owned,0,True,
Texas Instruments Ti-89 Titanium Graphing Calculator,6300,Pre-Owned,0,False,
Casio Calculator SL-300Ve-S Solar Handheld NEW SEALED,800,Brand New,0,False,
Texas Instruments TI-36X Scientific Calculator Solar ,649,Pre-Owned,0,True,148
"Casio MS-80B Standard Function Desktop Calculator,Black",1149,Brand New,0,False,
Texas Instruments TI-83 Plus Graphing Calculator Fully Functional (3),2000,Pre-Owned,0,False,
Casio POCKET Electronic Calculator HL-820LV-BK Large Display 8-Digit LCD BLACK,725,Brand New,0,False,
Helect Desk Calculator 12-Digit Desktop Calculator with Standard Function,1099,Brand New,0,False,1707
Catiga CP-30A 12 Digits 2 Color with LCD Display Printing Calculator Black,2499,Brand New,0,False,
Texas Instruments Ti-Nspire CX II CAS Graphing Calculator with Student Software,13998,Brand New,0,True,
BRAND NEW Texas Instruments TI-84 Plus CE Color Graphing Calculator,10999,Brand New,0,True,
HP 12C Financial Calculator Hewlett-Packard with Case,1390,Pre-Owned,610,False,
New Texas Instruments TI-84 Plus CE Enhanced Graphing Calculator (Blue),9500,Brand New,0,False,
New ListingTexas Instruments TI-Nspire CX Graphing Calculator,2500,Pre-Owned,0,False,
Construction Master 5 Calculator. NEW in original sealed packaging. ,3276,Brand New,0,False,56
New ListingHP 12C Financial Calculator W/Case and Owner's Handbook,1995,Pre-Owned,655,False,
New ListingTexas Instruments Ti-89 Titanium Graphing Calculator. Mint Condition New Battery,100,Pre-Owned,975,False,
