name,price,status,shipping,free_returns,items_sold
Shop on eBay,2000,Brand New,,False,
"CELSIUS Essential Energy Drink & Pre-Workout, Raspberry Acai Green Tea, 12 Pack",2499,Brand New,0,True,
"CELSIUS Essential Energy Drink 12 Fl Oz, Peach Mango Green Tea (Pack of 4)",1999,Brand New,0,True,
"CELSIUS HEAT Energy Drink Variety Pack, Zero Sugar, 16oz. Can, 12-Pack",1999,Brand New,0,False,
"CELSIUS Essential Energy Drink, 12 Fl Oz, Official Variety Pack Pack of 12",2238,Brand New,0,False,
Celsius - HEAT Energy Drink,399,Brand New,0,True,
"CELSIUS Essential Energy Drink, Sparkling Strawberry Guava 12 Fl Oz (Pack of 12)",3899,Brand New,0,False,
"CELSIUS Fitness Energy Drink 12 Fl Oz, Sparkling Orange (Pack of 12)",2653,Brand New,0,True,15
"CELSIUS Essential Energy Drink 12 Fl Oz, Sparkling Orange (Pack of 12)",2980,Brand New,0,False,
"New CELSIUS Essential Energy Drink, 12 Fl Oz, Official Variety Pack (Pack of 12)",2629,Brand New,0,True,
CELSIUS Heat On-The-Go Zero Sugar Energy Powder Sticks - 14 Packets,1599,Brand New,0,True,
"Celsius Essential Energy Drink Pack 12 Fl Oz, Peach Mango Green Tea (Pack of 12)",2650,Brand New,0,False,
Celsius Live Fit Energy Drink,3500,Brand New,2186,False,
celsius LIVE FIT energy drink Can  Holder ,1250,Brand New,610,False,
CELSIUS Essential Energy Drink 12 Fl Oz Peach Mango Green Tea Pack of 4,2041,Brand New,0,True,
"CELSIUS Essential Energy Drink 12 Fl Oz, Peach Mango Green Tea (Pack Of 12)",2740,Brand New,0,False,
"CELSIUS Essential Energy Drink, 12 Fl Oz, Official Variety Pack (Pack of 12)",2261,Brand New,0,False,
New Listing3x Celsius Heat Proven Performance Energy Powder Stick 14 Packs Watermelon Ice,3999,Brand New,0,False,
CELSIUS Zero Sugar Fitness Energy Drink - 12-Pack,3279,Brand New,0,True,
Celsius Heat Proven Performance Energy Powder Stick 14 Packs Watermelon Ice NEW,1799,Brand New,0,False,
CELSIUS Stevia Zero Sugar Fitness Energy Drink - 12-Pack,3495,Brand New,0,True,
"Celsius Live Fit Health, Fitness, Fat Burner Energy Drink - 12 Pack PICK FLAVOR",3695,Brand New,0,True,
"Celsius Heat performance Energy Powder Packets, Strawberry Mango ( Pack of 14)",1500,Brand New,0,False,
Celsius Sparkling Grape Rush 12 Ounce Pack Of 12 Healthy Energy Drink Travel New,2999,Brand New,649,False,129
