name,price,status,shipping,free_returns,items_sold
Shop on eBay,2000,Brand New,,False,
LEGO Disney Beauty and the Beast - Belle's Castle Winter Celebration 43180 - New,4499,Brand New,0,True,
LEGO 1 Pound 🧱BUY 5 GET 1 POUND FREE🧢 Bulk Pieces lot Bricks Tires Base Plates,1299,Pre-Owned,0,True,
LEGO 1 Pound Brick Plate Tire Part Piece Bulk Lot 🔥BUY 5 LBS GET 1 POUND FREE🔥,1289,Pre-Owned,0,False,1575
LEGO Orchid Plant Decor Building Kit for Adults; 10311 (608 Pieces),3688,Brand New,0,False,40
LEGO 60265 City Ocean Exploration Base 497pcs New ,4949,Brand New,0,True,71
LEGO 1-99 Pounds bulk lego 1-99 LBS Parts Pieces HUGE,1088,Pre-Owned,0,False,3585
Lego 40562 Creator 3-in-1 Mystic Witch **PERFECT BOX GUARANTEE**,2648,Brand New,0,False,
LEGO McLaren Senna GTR 42123 Building Set (830 Pieces),3698,Brand New,0,False,
New ListingRetired LEGO Star Wars: Sith TIE Fighter (75272),2440,Pre-Owned,1060,False,
Lego Series 23 Collectible Minifigures 71034 - Complete Set of 12 🔥IN STOCK🔥,6488,Brand New,0,True,857
Lego 100 Bulk ALL BRICKS BLOCKS LOT Mixed Sizes Basic Building Pieces Mix #1 ,1391,Pre-Owned,0,True,
"LEGO Creator Expert Gingerbread House 10267 Building Kit 1,477 Pieces",15500,Brand New,0,True,
NEW LEGO Marvel I am Groot 76217 Building Kit (476 Pieces) - Free Ship,3899,Brand New,0,False,47
Lego Ideas Home Alone 21330 Building Kit 3955 Pcs NEW,25499,Brand New,0,True,
100 Lego Technic Mindstorms NXT RCX BULK Parts LOT Liftarms Bricks Axles Pins,1299,Pre-Owned,0,True,5070
LEGO Bulk Bricks Plates And Pieces! Choose color quantity 500+ gets MINIGIFURE!,850,Pre-Owned,0,False,
New ListingLego 7915 Set Star Wars Imperial V Wing Fighter Droid Pilot Minifigures,1050,Pre-Owned,0,False,
LEGO Bulk lot WHEELS 1/2 lb pound Tires Axles Car Vehicle Lots of Parts!,1399,Pre-Owned,0,False,
LEGO 21336 The Office Building **PERFECT BOX GUARANTEE**,16699,Brand New,0,False,
New ListingLEGO Bonsai Tree 10281 Building Kit (878 Pieces) complete set,1750,Pre-Owned,1125,False,
New ListingLEGO Ray The Castaway 40566,2050,Brand New,0,False,
"New ListingLEGO Star Wars: Anakin's Jedi Interceptor (9494), Used, 100% Complete",2970,Pre-Owned,1115,False,
LEGO 40512 Fun and Funky VIP Add On Pack New Sealed IMMEDIATE SHIPMENT,1288,Brand New,0,False,
LEGO 200+ PIECES FROM BULK! SORTED LOT RANDOM SELECTION! CHOICE OF COLOR & QTY,899,Pre-Owned,399,False,
"New ListingLEGO Brickheadz The Mandalorian & The Child Star Wars 75317 New, Damaged Box!",425,Brand New,0,False,
"LEGO 40416 Limited Edition Ice Skating Rink 304pcs New, Sealed in Box!",3991,Brand New,0,True,
New ListingLego Technic Blue Monster Dragon Dinosaur Bionicle ? Maybe circa 2001,999,Pre-Owned,655,False,
New Sealed LEGO 40558 Star Wars Clone Trooper Command Station ,2999,Brand New,490,True,62
x3 NEW Lego Gray Baseplates Base Plates Brick Building 16 x 32 Dots BLUISH GRAY,1099,Brand New,0,True,10000
NEW LEGO 71033 - Disney THE MUPPETS Collectible Minifigures Minifig ~ YOU PICK!!,669,Brand New,0,False,
LEGO DC Batman Cowl Masked Face (76182) Collectible Building Set 410pcs SEALED,3999,Brand New,0,False,
LEGO 40513 Spooky Add On Pack **FREE SHIPPING**,1278,Brand New,0,False,
New ListingLEGO Star Wars TIE Fighter Pilot Helmet with Instructions - 75274,7500,Pre-Owned,1500,False,
LEGO Bonsai Tree Building Toy 10281 NEW,4499,Brand New,0,False,
New ListingLego # 7672 - Star Wars: Rogue Shadow,6000,Pre-Owned,1200,False,
LEGO Star Wars Mini Foil Pack Set Limited Edition Foil Pack - YOU CHOOSE,599,Brand New,426,True,
New ListingLEGO City: High-Speed Passenger Train Set 60051 Tracks Motor W/ Box Not Complete,125,Pre-Owned,1470,False,
LEGO Star Wars: STAP (30058),1200,Pre-Owned,560,False,
New ListingLEGO 21330 IDEAS Home Alone Brand New! Sealed In Box! Shipping Is Free,25999,New (Other),0,False,
LEGO Orchid Plant Decor Building Kit for Adults;  10311 (608 Pieces),3755,Brand New,0,False,
New ListingLEGO Star Wars: Boba Fett Helmet (75277) Assembled,1499,Pre-Owned,0,False,
New ListingLEGO 75258 Star Wars Anakin's Podracer 20th Anniversary Edition NEW/NISB RETIRED,4000,Brand New,0,False,
New Listinglego a-wing starfighter ucs star wars 75275,12000,Pre-Owned,2245,False,
LEGO Marvel The Eternals in Arishems Shadow 76155 Building Kit,2910,Brand New,0,False,
"LEGO Volkswagen T2 Camper Van 10279 Building Kit (2,207 Pieces)",14500,Brand New,0,False,
New ListingLEGO BIONICLE: Lehvak (8564),99,Pre-Owned,585,False,
New ListingLego Star Wars Sets Lot Of Ships & Figures & Manuals See Description,7100,Pre-Owned,2495,False,
New! Lego Star Wars Advent Calendar (75340) 329 Pieces - Free Ship,3500,Brand New,0,False,31
New LEGO Creator Surfer Beach House Set 31118 with 564 pieces,2495,Brand New,1953,False,40
New ListingLego Bionicle Figures Lot,2250,Pre-Owned,2875,False,
LEGO Star Wars: Snowtrooper Battle Pack (75320),2145,Brand New,0,True,
New Listing1991 Lego 4563 Train Railroad Load N' Haul Set Instructions Control Panel AS IS,2600,Pre-Owned,2175,False,
LEGO MIXELS: Rokit (41527),799,Brand New,530,False,
New ListingLEGO Star Wars: Slave I – 20th Anniversary Edition (75243) Open,6600,Pre-Owned,2000,False,
"LEGO Disney Encanto: The Madrigal House, 587pcs",4499,Brand New,0,False,
Lego 75312 Star Wars Boba Fett’s Starship  New Factory Sealed Free Shipping ,3995,Brand New,0,False,
LEGOS 40305 Microscale LEGO Brand Store Lego City NEW FACTORY SEALED 362 Pieces!,4599,Brand New,0,False,
LEGO Ninjago 71750 Lloyd's Hydro Mech 228 Pieces ,1695,Brand New,0,True,
LEGO 40513 Spooky Add On Pack  👻*NEW* - *** LOT OF 2*** -TRUSTED LEGO SELLER!!,1395,Brand New,600,False,
LEGO Beach Buggy Collector New Sealed Polybags Retired Surfer (30369),999,Brand New,0,True,
Lego Star Wars Helmets Marvel Venom Carnage Nano Gauntlet Display Shelves,599,Brand New,490,False,
LEGO Speed Champions Lamborghini 30342 Brand New Factory Sealed Polybag Holiday,999,Brand New,0,True,
LEGO City Farmers Market Van 60345 Building Kit Playset 310 Pieces - Free Ship,3500,Brand New,0,False,
LEGO CREATOR: London Bus (40220) Brand New in Sealed Box Retired,1750,Brand New,0,False,
"LEGO Technic McLaren Senna GTR Complete Kit, 830pcs",4499,Brand New,0,False,
"LEGO Creator Santa Claus (30573) 67 Pieces Christmas Holiday [Sealed, Brand New]",1199,Brand New,0,True,
Ninjago: The Hands of Time - Stealthy Swamp Airboat Polybag (30426) [NEW SEALED],999,Brand New,0,True,
Sealed LEGO Star Wars STAP Polybag 30058 Rare & Retired!,1599,Brand New,445,False,
LEGO Jurassic World: Baryonyx Dinosaur Boat Escape (76942),4500,Brand New,1499,False,
